id,name,year,chart_rank,de_rank,type,sex,,
Stimme_16,Stimme,2016,39,6,1,,,
FelixJaehn,Felix Jaehn,,,,2,m,,
Geiles_Leben_16,Geiles Leben,2016,40,7,1,,,
Holz_16,Holz,2016,41,8,1,,,
DanielGrunenberg,Daniel Grunenberg (Glasperlenspiel),,,,2,m,,
Shneezin,Shneezin (257ers),,,,2,m,,EiziEiz
Mike,Mike (257ers),,,,2,m,,
AlexisTroy,Alexis Troy,,,,2,m,,
Voddi257,Voddi257,,,,2,m,,
Palmen_aus_Plastik_16,Palmen aus Plastik,2016,47,9,1,,,
Beataura,Beataura,,,,2,m,,
Ohne_mein_Team_16,Ohne mein Team,2016,55,10,1,,,
RaphaelRagucci,Raphael Ragucci,,,,2,m,,
JohnMoser,John Moser,,,,2,m,,
NuriSingör,Nuri Singör,,,,2,m,,
Auf_und_Ab_21,Auf und ab,2021,17,3,1,,,
Megaloh,Megaloh,,,,2,m,,
DirkBerger,DirkBerger (The Krauts),,,,2,m,,
B_Label_Warner,Warner Music Central Europe,,,,,,,
B_Label_Sony,Sony Music Entertainment,,,,,,,
B_Label_Universal,Universal Music Group,,,,,,,
